Model,h(m),hw(m),Alpha,Cohesion,Friction,FOS
modelo_h_01_hwp_090_alpha_50_c_20_phi_45.hjs,1,0.9,50,20,45,1.492831058
modelo_h_01_hwp_090_alpha_55_c_00_phi_15.hjs,1,0.9,55,0,15,0.162306338
modelo_h_01_hwp_090_alpha_55_c_00_phi_20.hjs,1,0.9,55,0,20,0.228316225
modelo_h_01_hwp_090_alpha_55_c_00_phi_25.hjs,1,0.9,55,0,25,0.298200302
modelo_h_01_hwp_090_alpha_55_c_00_phi_30.hjs,1,0.9,55,0,30,0.373458517
modelo_h_01_hwp_090_alpha_55_c_00_phi_35.hjs,1,0.9,55,0,35,0.456084523
modelo_h_01_hwp_090_alpha_55_c_00_phi_40.hjs,1,0.9,55,0,40,0.548672069
modelo_h_01_hwp_090_alpha_55_c_00_phi_45.hjs,1,0.9,55,0,45,0.654869395
modelo_h_01_hwp_090_alpha_55_c_05_phi_15.hjs,1,0.9,55,5,15,1.259923757
modelo_h_01_hwp_090_alpha_55_c_05_phi_20.hjs,1,0.9,55,5,20,1.26108626
modelo_h_01_hwp_090_alpha_55_c_05_phi_25.hjs,1,0.9,55,5,25,1.262296835
modelo_h_01_hwp_090_alpha_55_c_05_phi_30.hjs,1,0.9,55,5,30,1.263578067
modelo_h_01_hwp_090_alpha_55_c_05_phi_35.hjs,1,0.9,55,5,35,1.264957814
modelo_h_01_hwp_090_alpha_55_c_05_phi_40.hjs,1,0.9,55,5,40,1.266471534
modelo_h_01_hwp_090_alpha_55_c_05_phi_45.hjs,1,0.9,55,5,45,1.268166856
modelo_h_01_hwp_090_alpha_55_c_10_phi_15.hjs,1,0.9,55,10,15,1.268686346
modelo_h_01_hwp_090_alpha_55_c_10_phi_20.hjs,1,0.9,55,10,20,1.269582178
modelo_h_01_hwp_090_alpha_55_c_10_phi_25.hjs,1,0.9,55,10,25,1.270555671
modelo_h_01_hwp_090_alpha_55_c_10_phi_30.hjs,1,0.9,55,10,30,1.271619496
modelo_h_01_hwp_090_alpha_55_c_10_phi_35.hjs,1,0.9,55,10,35,1.272793801
modelo_h_01_hwp_090_alpha_55_c_10_phi_40.hjs,1,0.9,55,10,40,1.274107713
modelo_h_01_hwp_090_alpha_55_c_10_phi_45.hjs,1,0.9,55,10,45,1.275602687
modelo_h_01_hwp_090_alpha_55_c_15_phi_15.hjs,1,0.9,55,15,15,1.27743628
modelo_h_01_hwp_090_alpha_55_c_15_phi_20.hjs,1,0.9,55,15,20,1.278065227
modelo_h_01_hwp_090_alpha_55_c_15_phi_25.hjs,1,0.9,55,15,25,1.27880106
modelo_h_01_hwp_090_alpha_55_c_15_phi_30.hjs,1,0.9,55,15,30,1.279647943
modelo_h_01_hwp_090_alpha_55_c_15_phi_35.hjs,1,0.9,55,15,35,1.280616979
modelo_h_01_hwp_090_alpha_55_c_15_phi_40.hjs,1,0.9,55,15,40,1.281731759
modelo_h_01_hwp_090_alpha_55_c_15_phi_45.hjs,1,0.9,55,15,45,1.283027629
modelo_h_01_hwp_090_alpha_55_c_20_phi_15.hjs,1,0.9,55,20,15,1.286174388
modelo_h_01_hwp_090_alpha_55_c_20_phi_20.hjs,1,0.9,55,20,20,1.286535082
modelo_h_01_hwp_090_alpha_55_c_20_phi_25.hjs,1,0.9,55,20,25,1.286831847
modelo_h_01_hwp_090_alpha_55_c_20_phi_30.hjs,1,0.9,55,20,30,1.286553993
modelo_h_01_hwp_090_alpha_55_c_20_phi_35.hjs,1,0.9,55,20,35,1.286381855
modelo_h_01_hwp_090_alpha_55_c_20_phi_40.hjs,1,0.9,55,20,40,1.286295343
modelo_h_01_hwp_090_alpha_55_c_20_phi_45.hjs,1,0.9,55,20,45,1.286279503
modelo_h_01_hwp_090_alpha_60_c_00_phi_15.hjs,1,0.9,60,0,15,0.133844438
modelo_h_01_hwp_090_alpha_60_c_00_phi_20.hjs,1,0.9,60,0,20,0.188442845
modelo_h_01_hwp_090_alpha_60_c_00_phi_25.hjs,1,0.9,60,0,25,0.245990172
modelo_h_01_hwp_090_alpha_60_c_00_phi_30.hjs,1,0.9,60,0,30,0.308072275
modelo_h_01_hwp_090_alpha_60_c_00_phi_35.hjs,1,0.9,60,0,35,0.376201567
modelo_h_01_hwp_090_alpha_60_c_00_phi_40.hjs,1,0.9,60,0,40,0.452529739
modelo_h_01_hwp_090_alpha_60_c_00_phi_45.hjs,1,0.9,60,0,45,0.540038798
modelo_h_01_hwp_090_alpha_60_c_05_phi_15.hjs,1,0.9,60,5,15,1.064299467
modelo_h_01_hwp_090_alpha_60_c_05_phi_20.hjs,1,0.9,60,5,20,1.064901897
modelo_h_01_hwp_090_alpha_60_c_05_phi_25.hjs,1,0.9,60,5,25,1.065537944
modelo_h_01_hwp_090_alpha_60_c_05_phi_30.hjs,1,0.9,60,5,30,1.066235216
modelo_h_01_hwp_090_alpha_60_c_05_phi_35.hjs,1,0.9,60,5,35,1.066780872
modelo_h_01_hwp_090_alpha_60_c_05_phi_40.hjs,1,0.9,60,5,40,1.067556963
modelo_h_01_hwp_090_alpha_60_c_05_phi_45.hjs,1,0.9,60,5,45,1.068409116
modelo_h_01_hwp_090_alpha_60_c_10_phi_15.hjs,1,0.9,60,10,15,1.070207282
modelo_h_01_hwp_090_alpha_60_c_10_phi_20.hjs,1,0.9,60,10,20,1.070503346
modelo_h_01_hwp_090_alpha_60_c_10_phi_25.hjs,1,0.9,60,10,25,1.070879845
modelo_h_01_hwp_090_alpha_60_c_10_phi_30.hjs,1,0.9,60,10,30,1.071516178
modelo_h_01_hwp_090_alpha_60_c_10_phi_35.hjs,1,0.9,60,10,35,1.071850489
modelo_h_01_hwp_090_alpha_60_c_10_phi_40.hjs,1,0.9,60,10,40,1.072422514
modelo_h_01_hwp_090_alpha_60_c_10_phi_45.hjs,1,0.9,60,10,45,1.073072447
modelo_h_01_hwp_090_alpha_60_c_15_phi_15.hjs,1,0.9,60,15,15,1.076279102
modelo_h_01_hwp_090_alpha_60_c_15_phi_20.hjs,1,0.9,60,15,20,1.076267204
modelo_h_01_hwp_090_alpha_60_c_15_phi_25.hjs,1,0.9,60,15,25,1.076572797
modelo_h_01_hwp_090_alpha_60_c_15_phi_30.hjs,1,0.9,60,15,30,1.076619834
modelo_h_01_hwp_090_alpha_60_c_15_phi_35.hjs,1,0.9,60,15,35,1.076912786
modelo_h_01_hwp_090_alpha_60_c_15_phi_40.hjs,1,0.9,60,15,40,1.077260644
modelo_h_01_hwp_090_alpha_60_c_15_phi_45.hjs,1,0.9,60,15,45,1.077542501
modelo_h_01_hwp_090_alpha_60_c_20_phi_15.hjs,1,0.9,60,20,15,1.082345435
modelo_h_01_hwp_090_alpha_60_c_20_phi_20.hjs,1,0.9,60,20,20,1.082024998
modelo_h_01_hwp_090_alpha_60_c_20_phi_25.hjs,1,0.9,60,20,25,1.081958838
modelo_h_01_hwp_090_alpha_60_c_20_phi_30.hjs,1,0.9,60,20,30,1.08184937
modelo_h_01_hwp_090_alpha_60_c_20_phi_35.hjs,1,0.9,60,20,35,1.081807152
modelo_h_01_hwp_090_alpha_60_c_20_phi_40.hjs,1,0.9,60,20,40,1.081821964
modelo_h_01_hwp_090_alpha_60_c_20_phi_45.hjs,1,0.9,60,20,45,1.081890783
modelo_h_02_hwp_010_alpha_15_c_00_phi_15.hjs,2,0.2,15,0,15,0.984867704
modelo_h_02_hwp_010_alpha_15_c_00_phi_20.hjs,2,0.2,15,0,20,1.346322662
modelo_h_02_hwp_010_alpha_15_c_00_phi_25.hjs,2,0.2,15,0,25,1.731035998
modelo_h_02_hwp_010_alpha_15_c_00_phi_30.hjs,2,0.2,15,0,30,2.147879113
modelo_h_02_hwp_010_alpha_15_c_00_phi_35.hjs,2,0.2,15,0,35,2.608360969
modelo_h_02_hwp_010_alpha_15_c_00_phi_40.hjs,2,0.2,15,0,40,3.127641014
modelo_h_02_hwp_010_alpha_15_c_00_phi_45.hjs,2,0.2,15,0,45,3.728165471
modelo_h_02_hwp_010_alpha_15_c_05_phi_15.hjs,2,0.2,15,5,15,1.939072374
modelo_h_02_hwp_010_alpha_15_c_05_phi_20.hjs,2,0.2,15,5,20,2.320645625
modelo_h_02_hwp_010_alpha_15_c_05_phi_25.hjs,2,0.2,15,5,25,2.725813841
modelo_h_02_hwp_010_alpha_15_c_05_phi_30.hjs,2,0.2,15,5,30,3.16336253
modelo_h_02_hwp_010_alpha_15_c_05_phi_35.hjs,2,0.2,15,5,35,3.647443803
modelo_h_02_hwp_010_alpha_15_c_05_phi_40.hjs,2,0.2,15,5,40,4.194682122
modelo_h_02_hwp_010_alpha_15_c_05_phi_45.hjs,2,0.2,15,5,45,4.828603295
modelo_h_02_hwp_010_alpha_15_c_10_phi_15.hjs,2,0.2,15,10,15,2.813728986
modelo_h_02_hwp_010_alpha_15_c_10_phi_20.hjs,2,0.2,15,10,20,3.195467601
modelo_h_02_hwp_010_alpha_15_c_10_phi_25.hjs,2,0.2,15,10,25,3.602233637
modelo_h_02_hwp_010_alpha_15_c_10_phi_30.hjs,2,0.2,15,10,30,4.043516434
modelo_h_02_hwp_010_alpha_15_c_10_phi_35.hjs,2,0.2,15,10,35,4.531676127
modelo_h_02_hwp_010_alpha_15_c_10_phi_40.hjs,2,0.2,15,10,40,5.083466873
modelo_h_02_hwp_010_alpha_15_c_10_phi_45.hjs,2,0.2,15,10,45,5.717536878
modelo_h_02_hwp_010_alpha_15_c_15_phi_15.hjs,2,0.2,15,15,15,3.688160785
modelo_h_02_hwp_010_alpha_15_c_15_phi_20.hjs,2,0.2,15,15,20,4.070013286
modelo_h_02_hwp_010_alpha_15_c_15_phi_25.hjs,2,0.2,15,15,25,4.476889621
modelo_h_02_hwp_010_alpha_15_c_15_phi_30.hjs,2,0.2,15,15,30,4.91829551
modelo_h_02_hwp_010_alpha_15_c_15_phi_35.hjs,2,0.2,15,15,35,5.406571857
modelo_h_02_hwp_010_alpha_15_c_15_phi_40.hjs,2,0.2,15,15,40,5.958565757
modelo_h_02_hwp_010_alpha_15_c_15_phi_45.hjs,2,0.2,15,15,45,6.432700288
modelo_h_02_hwp_010_alpha_15_c_20_phi_15.hjs,2,0.2,15,20,15,4.562509768
modelo_h_02_hwp_010_alpha_15_c_20_phi_20.hjs,2,0.2,15,20,20,4.944426721
modelo_h_02_hwp_010_alpha_15_c_20_phi_25.hjs,2,0.2,15,20,25,5.351390682
modelo_h_02_hwp_010_alpha_15_c_20_phi_30.hjs,2,0.2,15,20,30,5.792884687
modelo_h_02_hwp_010_alpha_15_c_20_phi_35.hjs,2,0.2,15,20,35,6.281334548
modelo_h_02_hwp_010_alpha_15_c_20_phi_40.hjs,2,0.2,15,20,40,6.460954919
modelo_h_02_hwp_010_alpha_15_c_20_phi_45.hjs,2,0.2,15,20,45,6.506025564
modelo_h_02_hwp_010_alpha_20_c_00_phi_15.hjs,2,0.2,20,0,15,0.752931767
modelo_h_02_hwp_010_alpha_20_c_00_phi_20.hjs,2,0.2,20,0,20,1.023488877
modelo_h_02_hwp_010_alpha_20_c_00_phi_25.hjs,2,0.2,20,0,25,1.311794
modelo_h_02_hwp_010_alpha_20_c_00_phi_30.hjs,2,0.2,20,0,30,1.624575141
modelo_h_02_hwp_010_alpha_20_c_00_phi_35.hjs,2,0.2,20,0,35,1.97057121
modelo_h_02_hwp_010_alpha_20_c_00_phi_40.hjs,2,0.2,20,0,40,2.361731837
modelo_h_02_hwp_010_alpha_20_c_00_phi_45.hjs,2,0.2,20,0,45,2.814695576
modelo_h_02_hwp_010_alpha_20_c_05_phi_15.hjs,2,0.2,20,5,15,1.456762172
modelo_h_02_hwp_010_alpha_20_c_05_phi_20.hjs,2,0.2,20,5,20,1.742468152
modelo_h_02_hwp_010_alpha_20_c_05_phi_25.hjs,2,0.2,20,5,25,2.046924815
modelo_h_02_hwp_010_alpha_20_c_05_phi_30.hjs,2,0.2,20,5,30,2.377323213
modelo_h_02_hwp_010_alpha_20_c_05_phi_35.hjs,2,0.2,20,5,35,2.742772727
modelo_h_02_hwp_010_alpha_20_c_05_phi_40.hjs,2,0.2,20,5,40,3.155689299
modelo_h_02_hwp_010_alpha_20_c_05_phi_45.hjs,2,0.2,20,5,45,3.625583276
modelo_h_02_hwp_010_alpha_20_c_10_phi_15.hjs,2,0.2,20,10,15,2.116255736
modelo_h_02_hwp_010_alpha_20_c_10_phi_20.hjs,2,0.2,20,10,20,2.402151982
modelo_h_02_hwp_010_alpha_20_c_10_phi_25.hjs,2,0.2,20,10,25,2.706748399
modelo_h_02_hwp_010_alpha_20_c_10_phi_30.hjs,2,0.2,20,10,30,3.037195681
modelo_h_02_hwp_010_alpha_20_c_10_phi_35.hjs,2,0.2,20,10,35,3.402754513
modelo_h_02_hwp_010_alpha_20_c_10_phi_40.hjs,2,0.2,20,10,40,3.815974888
modelo_h_02_hwp_010_alpha_20_c_10_phi_45.hjs,2,0.2,20,10,45,4.294618336
modelo_h_02_hwp_010_alpha_20_c_15_phi_15.hjs,2,0.2,20,15,15,2.775614286
modelo_h_02_hwp_010_alpha_20_c_15_phi_20.hjs,2,0.2,20,15,20,3.061551866
modelo_h_02_hwp_010_alpha_20_c_15_phi_25.hjs,2,0.2,20,15,25,3.366235834
modelo_h_02_hwp_010_alpha_20_c_15_phi_30.hjs,2,0.2,20,15,30,3.696779825
modelo_h_02_hwp_010_alpha_20_c_15_phi_35.hjs,2,0.2,20,15,35,4.06243082
modelo_h_02_hwp_010_alpha_20_c_15_phi_40.hjs,2,0.2,20,15,40,4.475747664
modelo_h_02_hwp_010_alpha_20_c_15_phi_45.hjs,2,0.2,20,15,45,4.746551272
modelo_h_02_hwp_010_alpha_20_c_20_phi_15.hjs,2,0.2,20,20,15,3.434838175
modelo_h_02_hwp_010_alpha_20_c_20_phi_20.hjs,2,0.2,20,20,20,3.720834961
modelo_h_02_hwp_010_alpha_20_c_20_phi_25.hjs,2,0.2,20,20,25,4.025586968
modelo_h_02_hwp_010_alpha_20_c_20_phi_30.hjs,2,0.2,20,20,30,4.356208801
modelo_h_02_hwp_010_alpha_20_c_20_phi_35.hjs,2,0.2,20,20,35,4.721937093
modelo_h_02_hwp_010_alpha_20_c_20_phi_40.hjs,2,0.2,20,20,40,4.768509048
modelo_h_02_hwp_010_alpha_20_c_20_phi_45.hjs,2,0.2,20,20,45,4.798419115
modelo_h_02_hwp_010_alpha_25_c_00_phi_15.hjs,2,0.2,25,0,15,0.585840523
modelo_h_02_hwp_010_alpha_25_c_00_phi_20.hjs,2,0.2,25,0,20,0.796487298
modelo_h_02_hwp_010_alpha_25_c_00_phi_25.hjs,2,0.2,25,0,25,1.020874086
modelo_h_02_hwp_010_alpha_25_c_00_phi_30.hjs,2,0.2,25,0,30,1.264303851
modelo_h_02_hwp_010_alpha_25_c_00_phi_35.hjs,2,0.2,25,0,35,1.533584023
modelo_h_02_hwp_010_alpha_25_c_00_phi_40.hjs,2,0.2,25,0,40,1.837945081
modelo_h_02_hwp_010_alpha_25_c_00_phi_45.hjs,2,0.2,25,0,45,2.190453038
modelo_h_02_hwp_010_alpha_25_c_05_phi_15.hjs,2,0.2,25,5,15,1.172517409
modelo_h_02_hwp_010_alpha_25_c_05_phi_20.hjs,2,0.2,25,5,20,1.397403101
modelo_h_02_hwp_010_alpha_25_c_05_phi_25.hjs,2,0.2,25,5,25,1.634615653
modelo_h_02_hwp_010_alpha_25_c_05_phi_30.hjs,2,0.2,25,5,30,1.888286893
modelo_h_02_hwp_010_alpha_25_c_05_phi_35.hjs,2,0.2,25,5,35,2.169017083
modelo_h_02_hwp_010_alpha_25_c_05_phi_40.hjs,2,0.2,25,5,40,2.486424031
modelo_h_02_hwp_010_alpha_25_c_05_phi_45.hjs,2,0.2,25,5,45,2.854166288
modelo_h_02_hwp_010_alpha_25_c_10_phi_15.hjs,2,0.2,25,10,15,1.717310694
modelo_h_02_hwp_010_alpha_25_c_10_phi_20.hjs,2,0.2,25,10,20,1.94235307
modelo_h_02_hwp_010_alpha_25_c_10_phi_25.hjs,2,0.2,25,10,25,2.182134968
modelo_h_02_hwp_010_alpha_25_c_10_phi_30.hjs,2,0.2,25,10,30,2.442307228
modelo_h_02_hwp_010_alpha_25_c_10_phi_35.hjs,2,0.2,25,10,35,2.730056896
modelo_h_02_hwp_010_alpha_25_c_10_phi_40.hjs,2,0.2,25,10,40,3.055309071
modelo_h_02_hwp_010_alpha_25_c_10_phi_45.hjs,2,0.2,25,10,45,3.423238734
modelo_h_02_hwp_010_alpha_25_c_15_phi_15.hjs,2,0.2,25,15,15,2.261868313
modelo_h_02_hwp_010_alpha_25_c_15_phi_20.hjs,2,0.2,25,15,20,2.487016573
modelo_h_02_hwp_010_alpha_25_c_15_phi_25.hjs,2,0.2,25,15,25,2.726952848
modelo_h_02_hwp_010_alpha_25_c_15_phi_30.hjs,2,0.2,25,15,30,2.987195457
modelo_h_02_hwp_010_alpha_25_c_15_phi_35.hjs,2,0.2,25,15,35,3.275060154
modelo_h_02_hwp_010_alpha_25_c_15_phi_40.hjs,2,0.2,25,15,40,3.600430515
modelo_h_02_hwp_010_alpha_25_c_15_phi_45.hjs,2,0.2,25,15,45,3.713799127
modelo_h_02_hwp_010_alpha_25_c_20_phi_15.hjs,2,0.2,25,20,15,2.806363819
modelo_h_02_hwp_010_alpha_25_c_20_phi_20.hjs,2,0.2,25,20,20,3.031592769
modelo_h_02_hwp_010_alpha_25_c_20_phi_25.hjs,2,0.2,25,20,25,3.271571913
modelo_h_02_hwp_010_alpha_25_c_20_phi_30.hjs,2,0.2,25,20,30,3.531896625
modelo_h_02_hwp_010_alpha_25_c_20_phi_35.hjs,2,0.2,25,20,35,3.713087889
modelo_h_02_hwp_010_alpha_25_c_20_phi_40.hjs,2,0.2,25,20,40,3.732278518
modelo_h_02_hwp_010_alpha_25_c_20_phi_45.hjs,2,0.2,25,20,45,3.753429411
modelo_h_02_hwp_010_alpha_30_c_00_phi_15.hjs,2,0.2,30,0,15,0.491255548
modelo_h_02_hwp_010_alpha_30_c_00_phi_20.hjs,2,0.2,30,0,20,0.667481856
modelo_h_02_hwp_010_alpha_30_c_00_phi_25.hjs,2,0.2,30,0,25,0.855288548
modelo_h_02_hwp_010_alpha_30_c_00_phi_30.hjs,2,0.2,30,0,30,1.059130111
modelo_h_02_hwp_010_alpha_30_c_00_phi_35.hjs,2,0.2,30,0,35,1.284574156
modelo_h_02_hwp_010_alpha_30_c_00_phi_40.hjs,2,0.2,30,0,40,1.539417101
modelo_h_02_hwp_010_alpha_30_c_00_phi_45.hjs,2,0.2,30,0,45,1.834623454
modelo_h_02_hwp_010_alpha_30_c_05_phi_15.hjs,2,0.2,30,5,15,0.980421077
modelo_h_02_hwp_010_alpha_30_c_05_phi_20.hjs,2,0.2,30,5,20,1.156109443
modelo_h_02_hwp_010_alpha_30_c_05_phi_25.hjs,2,0.2,30,5,25,1.343512971
modelo_h_02_hwp_010_alpha_30_c_05_phi_30.hjs,2,0.2,30,5,30,1.547018386
modelo_h_02_hwp_010_alpha_30_c_05_phi_35.hjs,2,0.2,30,5,35,1.772212565
modelo_h_02_hwp_010_alpha_30_c_05_phi_40.hjs,2,0.2,30,5,40,2.026861377
modelo_h_02_hwp_010_alpha_30_c_05_phi_45.hjs,2,0.2,30,5,45,2.321908645
modelo_h_02_hwp_010_alpha_30_c_10_phi_15.hjs,2,0.2,30,10,15,1.466212032
modelo_h_02_hwp_010_alpha_30_c_10_phi_20.hjs,2,0.2,30,10,20,1.646508186
modelo_h_02_hwp_010_alpha_30_c_10_phi_25.hjs,2,0.2,30,10,25,1.833501458
modelo_h_02_hwp_010_alpha_30_c_10_phi_30.hjs,2,0.2,30,10,30,2.036629769
modelo_h_02_hwp_010_alpha_30_c_10_phi_35.hjs,2,0.2,30,10,35,2.261488256
modelo_h_02_hwp_010_alpha_30_c_10_phi_40.hjs,2,0.2,30,10,40,2.515822301
modelo_h_02_hwp_010_alpha_30_c_10_phi_45.hjs,2,0.2,30,10,45,2.81058169
modelo_h_02_hwp_010_alpha_30_c_15_phi_15.hjs,2,0.2,30,15,15,1.942152139
modelo_h_02_hwp_010_alpha_30_c_15_phi_20.hjs,2,0.2,30,15,20,2.126453582
modelo_h_02_hwp_010_alpha_30_c_15_phi_25.hjs,2,0.2,30,15,25,2.322807746
modelo_h_02_hwp_010_alpha_30_c_15_phi_30.hjs,2,0.2,30,15,30,2.527069413
modelo_h_02_hwp_010_alpha_30_c_15_phi_35.hjs,2,0.2,30,15,35,2.751625057
modelo_h_02_hwp_010_alpha_30_c_15_phi_40.hjs,2,0.2,30,15,40,2.990905427
modelo_h_02_hwp_010_alpha_30_c_15_phi_45.hjs,2,0.2,30,15,45,3.006105911
modelo_h_02_hwp_010_alpha_30_c_20_phi_15.hjs,2,0.2,30,20,15,2.417979194
modelo_h_02_hwp_010_alpha_30_c_20_phi_20.hjs,2,0.2,30,20,20,2.602368228
modelo_h_02_hwp_010_alpha_30_c_20_phi_25.hjs,2,0.2,30,20,25,2.798811728
modelo_h_02_hwp_010_alpha_30_c_20_phi_30.hjs,2,0.2,30,20,30,2.995872829
modelo_h_02_hwp_010_alpha_30_c_20_phi_35.hjs,2,0.2,30,20,35,3.007271232
modelo_h_02_hwp_010_alpha_30_c_20_phi_40.hjs,2,0.2,30,20,40,3.020281297
modelo_h_02_hwp_010_alpha_30_c_20_phi_45.hjs,2,0.2,30,20,45,3.035254742
modelo_h_02_hwp_010_alpha_35_c_00_phi_15.hjs,2,0.2,35,0,15,0.398047164
modelo_h_02_hwp_010_alpha_35_c_00_phi_20.hjs,2,0.2,35,0,20,0.542279554
modelo_h_02_hwp_010_alpha_35_c_00_phi_25.hjs,2,0.2,35,0,25,0.695893546
modelo_h_02_hwp_010_alpha_35_c_00_phi_30.hjs,2,0.2,35,0,30,0.862462667
modelo_h_02_hwp_010_alpha_35_c_00_phi_35.hjs,2,0.2,35,0,35,1.046622673
modelo_h_02_hwp_010_alpha_35_c_00_phi_40.hjs,2,0.2,35,0,40,1.254651808
modelo_h_02_hwp_010_alpha_35_c_00_phi_45.hjs,2,0.2,35,0,45,1.495431948
modelo_h_02_hwp_010_alpha_35_c_05_phi_15.hjs,2,0.2,35,5,15,0.858001374
modelo_h_02_hwp_010_alpha_35_c_05_phi_20.hjs,2,0.2,35,5,20,1.00194083
modelo_h_02_hwp_010_alpha_35_c_05_phi_25.hjs,2,0.2,35,5,25,1.155526104
modelo_h_02_hwp_010_alpha_35_c_05_phi_30.hjs,2,0.2,35,5,30,1.322300115
modelo_h_02_hwp_010_alpha_35_c_05_phi_35.hjs,2,0.2,35,5,35,1.506914488
modelo_h_02_hwp_010_alpha_35_c_05_phi_40.hjs,2,0.2,35,5,40,1.715736315
modelo_h_02_hwp_010_alpha_35_c_05_phi_45.hjs,2,0.2,35,5,45,1.957676189
modelo_h_02_hwp_010_alpha_35_c_10_phi_15.hjs,2,0.2,35,10,15,1.314925098
modelo_h_02_hwp_010_alpha_35_c_10_phi_20.hjs,2,0.2,35,10,20,1.458397121
modelo_h_02_hwp_010_alpha_35_c_10_phi_25.hjs,2,0.2,35,10,25,1.611549085
modelo_h_02_hwp_010_alpha_35_c_10_phi_30.hjs,2,0.2,35,10,30,1.77791901
modelo_h_02_hwp_010_alpha_35_c_10_phi_35.hjs,2,0.2,35,10,35,1.962161398
modelo_h_02_hwp_010_alpha_35_c_10_phi_40.hjs,2,0.2,35,10,40,2.170627881
modelo_h_02_hwp_010_alpha_35_c_10_phi_45.hjs,2,0.2,35,10,45,2.412235215
modelo_h_02_hwp_010_alpha_35_c_15_phi_15.hjs,2,0.2,35,15,15,1.77234058
modelo_h_02_hwp_010_alpha_35_c_15_phi_20.hjs,2,0.2,35,15,20,1.915521578
modelo_h_02_hwp_010_alpha_35_c_15_phi_25.hjs,2,0.2,35,15,25,2.068354155
modelo_h_02_hwp_010_alpha_35_c_15_phi_30.hjs,2,0.2,35,15,30,2.234416148
modelo_h_02_hwp_010_alpha_35_c_15_phi_35.hjs,2,0.2,35,15,35,2.418337936
modelo_h_02_hwp_010_alpha_35_c_15_phi_40.hjs,2,0.2,35,15,40,2.473026494
modelo_h_02_hwp_010_alpha_35_c_15_phi_45.hjs,2,0.2,35,15,45,2.483748695
modelo_h_02_hwp_010_alpha_35_c_20_phi_15.hjs,2,0.2,35,20,15,2.229828067
modelo_h_02_hwp_010_alpha_35_c_20_phi_20.hjs,2,0.2,35,20,20,2.372931598
modelo_h_02_hwp_010_alpha_35_c_20_phi_25.hjs,2,0.2,35,20,25,2.470556871
modelo_h_02_hwp_010_alpha_35_c_20_phi_30.hjs,2,0.2,35,20,30,2.477578665
modelo_h_02_hwp_010_alpha_35_c_20_phi_35.hjs,2,0.2,35,20,35,2.485358565
modelo_h_02_hwp_010_alpha_35_c_20_phi_40.hjs,2,0.2,35,20,40,2.494244505
modelo_h_02_hwp_010_alpha_35_c_20_phi_45.hjs,2,0.2,35,20,45,2.504670037
modelo_h_02_hwp_010_alpha_40_c_00_phi_15.hjs,2,0.2,40,0,15,0.327186187
modelo_h_02_hwp_010_alpha_40_c_00_phi_20.hjs,2,0.2,40,0,20,0.445782915
modelo_h_02_hwp_010_alpha_40_c_00_phi_25.hjs,2,0.2,40,0,25,0.57209088
modelo_h_02_hwp_010_alpha_40_c_00_phi_30.hjs,2,0.2,40,0,30,0.709046462
modelo_h_02_hwp_010_alpha_40_c_00_phi_35.hjs,2,0.2,40,0,35,0.86045926
modelo_h_02_hwp_010_alpha_40_c_00_phi_40.hjs,2,0.2,40,0,40,1.031503039
modelo_h_02_hwp_010_alpha_40_c_00_phi_45.hjs,2,0.2,40,0,45,1.229462862
modelo_h_02_hwp_010_alpha_40_c_05_phi_15.hjs,2,0.2,40,5,15,0.771896803
modelo_h_02_hwp_010_alpha_40_c_05_phi_20.hjs,2,0.2,40,5,20,0.898583828
modelo_h_02_hwp_010_alpha_40_c_05_phi_25.hjs,2,0.2,40,5,25,1.033578272
modelo_h_02_hwp_010_alpha_40_c_05_phi_30.hjs,2,0.2,40,5,30,1.180031454
modelo_h_02_hwp_010_alpha_40_c_05_phi_35.hjs,2,0.2,40,5,35,1.342042673
modelo_h_02_hwp_010_alpha_40_c_05_phi_40.hjs,2,0.2,40,5,40,1.525173425
modelo_h_02_hwp_010_alpha_40_c_05_phi_45.hjs,2,0.2,40,5,45,1.737293516
modelo_h_02_hwp_010_alpha_40_c_10_phi_15.hjs,2,0.2,40,10,15,1.190212057
modelo_h_02_hwp_010_alpha_40_c_10_phi_20.hjs,2,0.2,40,10,20,1.316986507
modelo_h_02_hwp_010_alpha_40_c_10_phi_25.hjs,2,0.2,40,10,25,1.452069424
modelo_h_02_hwp_010_alpha_40_c_10_phi_30.hjs,2,0.2,40,10,30,1.598611019
modelo_h_02_hwp_010_alpha_40_c_10_phi_35.hjs,2,0.2,40,10,35,1.760711427
modelo_h_02_hwp_010_alpha_40_c_10_phi_40.hjs,2,0.2,40,10,40,1.943933046
modelo_h_02_hwp_010_alpha_40_c_10_phi_45.hjs,2,0.2,40,10,45,2.066031229
modelo_h_02_hwp_010_alpha_40_c_15_phi_15.hjs,2,0.2,40,15,15,1.608385803
modelo_h_02_hwp_010_alpha_40_c_15_phi_20.hjs,2,0.2,40,15,20,1.735214406
modelo_h_02_hwp_010_alpha_40_c_15_phi_25.hjs,2,0.2,40,15,25,1.870355378
modelo_h_02_hwp_010_alpha_40_c_15_phi_30.hjs,2,0.2,40,15,30,2.016960588
modelo_h_02_hwp_010_alpha_40_c_15_phi_35.hjs,2,0.2,40,15,35,2.068408278
modelo_h_02_hwp_010_alpha_40_c_15_phi_40.hjs,2,0.2,40,15,40,2.074536961
